"","fips","state","county","ibclc_rate","bf_pct","im_rate","la_leche_count","baby_friendly_count","wic_site_count","la_leche_in_county","baby_friendly_in_county","wic_site_in_county","rucc","svi"
"95","13191","GA","McIntosh",5.59,78.7,0,0,1,1,"N","Y","Y",3,58.63
"96","13193","GA","Macon",0,70.7,0,0,1,0,"N","Y","N",6,93.12
"97","13195","GA","Madison",8.88,65.6,0,0,0,4,"N","N","Y",3,64.17
"98","13197","GA","Marion",0,66.8,0,1,0,0,"Y","N","N",2,85.19
"99","13199","GA","Meriwether",8.08,63.7,0,1,0,3,"Y","N","Y",1,87.01
"100","13201","GA","Miller",7.25,52.4,0,0,0,0,"N","N","N",8,77.99
"101","13205","GA","Mitchell",8.93,45,0,2,1,7,"Y","Y","Y",6,98.79
"102","13207","GA","Monroe",7.42,74.7,0,1,0,6,"Y","N","Y",3,45.96
"103","13209","GA","Montgomery",10.26,70.4,0,0,0,1,"N","N","Y",9,84.65
"104","13211","GA","Morgan",14.74,74.2,0,1,0,3,"Y","N","Y",1,24.46
"105","13213","GA","Murray",4.12,77.4,22.3,1,0,8,"Y","N","Y",3,71.34
"106","13215","GA","Muscogee",0.54,79,20.5,1,2,1,"Y","Y","Y",2,90.03
"107","13217","GA","Newton",4.77,78.6,0,1,2,8,"Y","Y","Y",1,70.7
"108","13219","GA","Oconee",7.19,89.1,0,1,0,3,"Y","N","Y",3,3.54
"109","13221","GA","Oglethorpe",5.87,75.7,15.2,0,0,4,"N","N","Y",3,52.17
"110","13223","GA","Paulding",2.77,92,0,3,3,3,"Y","Y","Y",1,13.76
"111","13225","GA","Peach",4.89,77,0,0,0,3,"N","N","Y",3,94.04
"112","13227","GA","Pickens",27.69,84.3,0,2,0,7,"Y","N","Y",1,27.96
"113","13229","GA","Pierce",0,71,0,0,0,0,"N","N","N",6,65.7
"114","13231","GA","Pike",7.5,66.5,0,2,0,1,"Y","N","Y",1,15.1
"115","13233","GA","Polk",7.24,75,0,0,1,2,"N","Y","Y",4,80.48
"116","13235","GA","Pulaski",0,60,0,0,0,0,"N","N","N",3,84.59
"117","13237","GA","Putnam",2.12,67.1,0,0,0,0,"N","N","N",6,42.8
"118","13239","GA","Quitman",0,62.5,0,0,0,0,"N","N","N",9,94.33
"119","13241","GA","Rabun",3.27,87.8,0,0,1,2,"N","Y","Y",7,53.41
"120","13243","GA","Randolph",0,41.5,0,0,0,1,"N","N","Y",6,97.39
"121","13245","GA","Richmond",2.12,78,20.5,1,1,3,"Y","Y","Y",2,93.28
"122","13247","GA","Rockdale",8.95,84,18.9,7,6,14,"Y","Y","Y",1,55.29
"123","13249","GA","Schley",0,67.4,0,0,0,14,"N","N","Y",8,82.48
